source,target,weight,com_source,com_target
0,1,4,Mr. Hi,Mr. Hi
0,2,5,Mr. Hi,Mr. Hi
0,3,3,Mr. Hi,Mr. Hi
0,4,3,Mr. Hi,Mr. Hi
0,5,3,Mr. Hi,Mr. Hi
0,6,3,Mr. Hi,Mr. Hi
0,7,2,Mr. Hi,Mr. Hi
0,8,2,Mr. Hi,Mr. Hi
0,10,2,Mr. Hi,Mr. Hi
0,11,3,Mr. Hi,Mr. Hi
0,12,1,Mr. Hi,Mr. Hi
0,13,3,Mr. Hi,Mr. Hi
0,17,2,Mr. Hi,Mr. Hi
0,19,2,Mr. Hi,Mr. Hi
0,21,2,Mr. Hi,Mr. Hi
0,31,2,Mr. Hi,Officer
1,2,6,Mr. Hi,Mr. Hi
1,3,3,Mr. Hi,Mr. Hi
1,7,4,Mr. Hi,Mr. Hi
1,13,5,Mr. Hi,Mr. Hi
1,17,1,Mr. Hi,Mr. Hi
1,19,2,Mr. Hi,Mr. Hi
1,21,2,Mr. Hi,Mr. Hi
1,30,2,Mr. Hi,Officer
2,3,3,Mr. Hi,Mr. Hi
2,7,4,Mr. Hi,Mr. Hi
2,8,5,Mr. Hi,Mr. Hi
2,9,1,Mr. Hi,Officer
2,13,3,Mr. Hi,Mr. Hi
2,27,2,Mr. Hi,Officer
2,28,2,Mr. Hi,Officer
2,32,2,Mr. Hi,Officer
3,7,3,Mr. Hi,Mr. Hi
3,12,3,Mr. Hi,Mr. Hi
3,13,3,Mr. Hi,Mr. Hi
4,6,2,Mr. Hi,Mr. Hi
4,10,3,Mr. Hi,Mr. Hi
5,6,5,Mr. Hi,Mr. Hi
5,10,3,Mr. Hi,Mr. Hi
5,16,3,Mr. Hi,Mr. Hi
6,16,3,Mr. Hi,Mr. Hi
8,30,3,Mr. Hi,Officer
8,32,3,Mr. Hi,Officer
8,33,4,Mr. Hi,Officer
9,33,2,Officer,Officer
13,33,3,Mr. Hi,Officer
14,32,3,Officer,Officer
14,33,2,Officer,Officer
15,32,3,Officer,Officer
15,33,4,Officer,Officer
18,32,1,Officer,Officer
18,33,2,Officer,Officer
19,33,1,Mr. Hi,Officer
20,32,3,Officer,Officer
20,33,1,Officer,Officer
22,32,2,Officer,Officer
22,33,3,Officer,Officer
23,25,5,Officer,Officer
23,27,4,Officer,Officer
23,29,3,Officer,Officer
23,32,5,Officer,Officer
23,33,4,Officer,Officer
24,25,2,Officer,Officer
24,27,3,Officer,Officer
24,31,2,Officer,Officer
25,31,7,Officer,Officer
26,29,4,Officer,Officer
26,33,2,Officer,Officer
27,33,4,Officer,Officer
28,31,2,Officer,Officer
28,33,2,Officer,Officer
29,32,4,Officer,Officer
29,33,2,Officer,Officer
30,32,3,Officer,Officer
30,33,3,Officer,Officer
31,32,4,Officer,Officer
31,33,4,Officer,Officer
32,33,5,Officer,Officer
